Time Bin,Absent Localities,Present Localities,Spruce Minimum,Spruce Maximum,Willow Minimum,Willow Maximum,Poplar Minimum,Poplar Maximum
150,10,17,16,17,16,16,2,3
500,6,21,21,21,20,20,5,7
1000,3,24,24,24,24,24,4,7
1500,8,19,18,19,19,19,3,6
2000,2,25,25,25,25,25,7,9
2500,4,23,22,22,23,23,2,5
3000,7,20,20,20,20,20,4,6
3500,3,24,24,24,24,24,6,9
4000,2,25,25,25,22,25,8,13
4500,3,24,24,24,21,23,5,8
5000,3,24,23,24,23,24,3,8
5500,4,23,23,23,23,23,5,10
6000,2,25,25,25,22,24,6,11
6500,4,23,20,23,22,23,4,10
7000,6,21,21,21,19,21,7,11
7500,2,25,22,24,23,24,6,9
8000,2,25,21,23,24,25,8,16
8500,1,26,19,21,26,26,12,20
9000,4,23,11,15,22,22,15,18
9500,3,24,10,14,23,24,17,22
10000,7,20,4,9,20,20,14,17
10500,7,20,3,6,20,20,10,15
11000,6,21,5,6,21,21,10,14
11500,10,17,3,6,17,17,6,8
12000,9,18,5,9,18,18,5,9
12500,9,18,3,8,18,18,6,8
13000,11,16,5,9,16,16,3,7
13500,10,17,8,11,17,17,4,7
14000,13,14,11,11,13,14,5,5
14500,20,7,3,3,7,7,3,4
15000,17,10,8,8,10,10,4,5
15500,21,6,4,4,6,6,1,1
16000,23,4,2,2,4,4,1,1
16500,23,4,3,3,4,4,1,1
17000,23,4,3,3,4,4,0,0
17500,22,5,3,3,5,5,0,0
18000,24,3,1,1,3,3,0,0
18500,24,3,3,3,3,3,0,0
19000,24,3,3,3,3,3,1,1
19500,23,4,4,4,4,4,0,0
