"sitename","siteid","datasetid","lat","long","0","500","1000","1500","2000","2500","3000","3500","4000","4500","5000","5500","6000","6500","7000","7500","8000","8500","9000","9500","10000","10500","11000","11500","12000","12500","13000","13500","14000","14500","15000","15500","16000","16500","17000","17500","18000","18500","19000","19500","20000"
"Angal Lake",207,208,67.13333,-153.9,0.183673469387755,NA,NA,0.155102040816327,0.0991735537190083,0.2,0.14336917562724,0.14453125,0.144781144781145,0.170658682634731,0.127737226277372,0.173431734317343,0.148409893992933,0.118081180811808,NA,0.0918367346938775,0.0374149659863946,0.0230769230769231,0.0689655172413793,0.0987124463519313,0.0956521739130435,0.0844444444444445,0.00775193798449612,NA,0,0,0,0,NA,0,0,NA,0,NA,0.0303030303030303,NA,NA,NA,NA,NA,NA
"Crowsnest Lake",513,527,68.33333,-146.48333,NA,NA,NA,NA,NA,NA,NA,NA,0.110655737704918,0.331730769230769,0.438679245283019,0.366412213740458,0.3125,0.186311787072243,0.251552795031056,0.265486725663717,0.373493975903614,0.248,0.371212121212121,0.0721649484536083,0.0273972602739726,0.01,0.0196078431372549,0.00591715976331361,0.00680272108843537,0.0099009900990099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etivlik Lake",790,811,68.13333,-156.03333,NA,NA,NA,NA,NA,0.0872727272727273,0.111888111888112,0.0888888888888889,0.0942028985507246,NA,0.0827814569536424,NA,0.0251798561151079,NA,0.0157232704402516,NA,0.0141342756183746,NA,0.0740740740740741,0.045016077170418,0.00465116279069767,0,0,0,0,0,NA,NA,NA,0,0.00495049504950495,NA,0.00666666666666667,NA,0.0075187969924812,NA,NA,NA,NA,NA,NA
"Headwaters Lake",992,1024,67.93333,-155.05,0.0821256038647343,NA,NA,NA,0.0649350649350649,0.0769230769230769,0.0611353711790393,0.0541666666666667,0.0781893004115226,0.0518518518518519,0.0436507936507937,0.0277777777777778,0.0502092050209205,0.0220588235294118,0.0247349823321555,0.00409836065573771,0.02,0.00873362445414847,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joe Lake",1355,1390,66.76667,-157.21667,0.157718120805369,NA,NA,NA,NA,NA,0.0631970260223048,0.0962099125364431,0.110749185667752,0.0668896321070234,0.105121293800539,0.0510204081632653,0.098159509202454,0.04375,0.0106951871657754,0.00964630225080386,0.00689655172413793,0.0036101083032491,0.00760456273764259,0.00409836065573771,0.0127118644067797,0.0126582278481013,0.0329341317365269,0.00355871886120996,0.00381679389312977,0,0,0.0154639175257732,0.00490196078431373,0.00469483568075117,0.00598802395209581,0,0.0224719101123596,0.0663507109004739,NA,0.0303030303030303,0.025,NA,0.0212765957446809,0.016260162601626,NA
"Kaiyak Lake",1396,1432,68.15,-161.41667,0.0427631578947368,NA,NA,NA,NA,0.0509915014164306,0.0540540540540541,0.0574018126888218,NA,0.0220588235294118,NA,0.03125,NA,0.0188087774294671,0.00854700854700855,NA,NA,0.018348623853211,0.0060790273556231,0.00348432055749129,NA,NA,0.00333333333333333,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0.00390625,NA,0,0,0.0196078431372549,0,0,0
"Kollioksak Lake",1503,1541,66.96667,-156.45,NA,NA,NA,NA,0.0721003134796238,0.0855457227138643,0.164670658682635,0.0955414012738853,0.224747474747475,0.115702479338843,0.0811594202898551,0.089238845144357,0.0602150537634409,0.0972222222222222,0.0461538461538462,0.0452127659574468,0.0267379679144385,0.0155440414507772,0.0279503105590062,0.010989010989011,0.0157303370786517,0.00371747211895911,0.0146198830409357,NA,NA,NA,0.0339506172839506,NA,NA,0.0117302052785924,NA,NA,0.00909090909090909,NA,0.0333333333333333,0.0183823529411765,NA,NA,NA,NA,NA
"Minakokosa Lake",1699,1755,66.91667,-155.03333,NA,NA,NA,NA,NA,NA,0.387205387205387,0.330882352941176,0.299295774647887,0.359195402298851,0.327536231884058,0.301204819277108,0.25,0.24390243902439,0.0750853242320819,0.135693215339233,0.158730158730159,0.0918727915194346,0.130434782608696,0.176470588235294,NA,0.237735849056604,NA,0.0115830115830116,0.02,NA,0,0.00735294117647059,0,0,0,0.0168539325842697,0,0.00641025641025641,0.00666666666666667,0.0196078431372549,0.0294117647058824,0.0202020202020202,NA,0.0952380952380952,0.0317460317460317
"Niliq Lake",1748,1806,67.86667,-160.43333,NA,NA,NA,NA,0.0601503759398496,0.0290909090909091,NA,0.0137931034482759,0.0249110320284698,0.0185185185185185,NA,0.0161725067385445,0.0121457489878543,0.00289855072463768,0.00252525252525253,0.00302114803625378,0.00208333333333333,0,0.0037037037037037,0,0.0108108108108108,0.0121951219512195,0.00956937799043062,0.00446428571428571,0,0.005,0,0,0,0,0,0,0.024390243902439,0.0285714285714286,0.0158730158730159,NA,NA,NA,NA,NA,NA
"North Killeak Lake",11583,17345,66.363098,-164.0618,0.0746268656716418,0.0456852791878173,0.0566037735849057,0.0878048780487805,0.127906976744186,0.0371900826446281,0.0199203187250996,0.0409090909090909,0.0458015267175572,0.024,0.0197628458498024,0.0267175572519084,0.0116279069767442,0.00778210116731518,0.00418410041841004,0.0149253731343284,0.00956937799043062,0.00896860986547085,0.008,0.0100502512562814,0.00865800865800866,0.0043859649122807,0.00847457627118644,0.00526315789473684,0.00568181818181818,0.0121951219512195,0.00505050505050505,0.018018018018018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ranger Lake",1955,2025,67.14722,-153.65,0.20979020979021,NA,NA,0.227272727272727,0.276119402985075,0.156666666666667,0.2,0.26953125,0.196491228070175,0.211538461538462,0.164141414141414,0.0871080139372822,0.118143459915612,0.034965034965035,0.0616822429906542,0.0434782608695652,0.0391304347826087,0.037037037037037,NA,0.0191570881226054,NA,0,NA,0,0,0.0303030303030303,0.0357142857142857,0.04,0.0444444444444444,0.148148148148148,0.125,0.061046511627907,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red Green Lake",10537,16236,68.654086,-149.681654,NA,0.169312169312169,0.105504587155963,0.06640625,0.122340425531915,0.211267605633803,0.0803212851405622,0.107569721115538,0.0946969696969697,0.0348837209302326,0.0612903225806452,NA,0.06,0.0307443365695793,0.0319148936170213,0.028169014084507,0.029585798816568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Redondo Lake",1974,2047,67.68333,-155.03333,0.0706713780918728,0.0676691729323308,0.111627906976744,0.0505415162454874,0.04,NA,0.028673835125448,0.0551724137931034,0.0032258064516129,NA,0.00892857142857143,0.0459016393442623,0.00324675324675325,NA,NA,0.0465116279069767,0.0169491525423729,0.0202702702702703,NA,0.00641025641025641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Redstone Lake",1977,2050,67.25,-152.6,0.151515151515152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113074204946996,0.0934959349593496,0.0648854961832061,0.0245614035087719,0.0215827338129496,0.107438016528926,0.046875,0.00398406374501992,0.00497512437810945,0,0,0,0,0,0.00598802395209581,0,0,0.0212765957446809,0,0.0408163265306122,0.04,0,0.133333333333333,NA,NA,NA,NA,NA,NA
"Ruppert Lake",2232,2311,67.06667,-154.23333,NA,NA,NA,0.371621621621622,0.298136645962733,NA,NA,0.336633663366337,0.224025974025974,0.256493506493506,0.200692041522491,0.228956228956229,0.0675675675675676,0.0248447204968944,0.0172413793103448,0.109826589595376,0.0850202429149798,0.175141242937853,0.0176056338028169,0.0103806228373702,0.00985221674876847,0.0036101083032491,0,0,0,0,0,0.00854700854700855,0,0,0.0588235294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sakana Lake",2245,2324,67.43333,-147.85,NA,NA,NA,NA,NA,NA,NA,NA,0.289398280802292,0.34180790960452,0.339130434782609,0.474431818181818,0.32183908045977,0.300595238095238,0.234957020057307,0.293296089385475,NA,0.341296928327645,0.037037037037037,0,0,0.00413223140495868,0.00490196078431373,NA,NA,0.00711743772241993,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sands of Time Lake",11575,17328,66.027922,-147.556308,NA,NA,NA,0.306010928961749,0.230769230769231,0.202054794520548,0.247340425531915,0.335526315789474,0.207017543859649,0.284653465346535,0.165697674418605,0.195583596214511,0.156862745098039,0.121621621621622,0.0542797494780793,0.0723270440251572,0.0652173913043478,0.113953488372093,NA,0.0906432748538012,0.155778894472362,0.0136986301369863,NA,0.00248138957816377,NA,0.0025062656641604,0,0,NA,NA,0.0159362549800797,NA,NA,0.0131004366812227,NA,0.0126182965299685,0.00383141762452107,NA,0.0238095238095238,NA,0.0185185185185185
"Screaming Lynx Lake",13690,20872,66.068048,-145.406216,0.306451612903226,0.248251748251748,0.23961661341853,0.236111111111111,0.186274509803922,0.295681063122924,0.255192878338279,0.217665615141956,0.214521452145215,0.143344709897611,0.0899280575539568,0.0521472392638037,0.105960264900662,0.122923588039867,NA,0.152542372881356,NA,0.102112676056338,0.123287671232877,0.0072463768115942,0.0263157894736842,0.00970873786407767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Screaming Yellowlegs Pond",2270,2351,67.58333,-151.41667,0.153266331658291,NA,NA,0.15719696969697,0.197247706422018,0.148367952522255,0.0995575221238938,0.184210526315789,NA,0.0748175182481752,0.0849056603773585,NA,0.0423162583518931,0.0622317596566524,0.0588235294117647,0.166666666666667,0.204326923076923,0.198501872659176,0.010752688172043,NA,0.00341296928327645,NA,0,0,0,0,0,NA,0,0,NA,0,0,0.0123456790123457,0.0547945205479452,NA,NA,NA,NA,NA,NA
"Seagull Lake",2271,2352,68.26667,-145.21667,NA,0.380952380952381,0.203125,0.251937984496124,0.283582089552239,0.304812834224599,0.325,0.325757575757576,0.308056872037915,0.35,0.311224489795918,0.264367816091954,0.283720930232558,0.163316582914573,0.21,0.237762237762238,0.172413793103448,NA,0.379912663755459,0.244186046511628,0.118110236220472,0.00303030303030303,0.00743494423791821,0,NA,0,NA,0.00383141762452107,NA,0,0.0078740157480315,NA,0.00689655172413793,0,NA,NA,NA,NA,NA,NA,NA
"Sithylemenkat Lake",11579,17338,66.121544,-151.398584,NA,NA,NA,0.609195402298851,0.166666666666667,0.212903225806452,0.237623762376238,0.220238095238095,0.298701298701299,0.228070175438596,0.2,0.144508670520231,0.119047619047619,0.0789473684210526,0.0752688172043011,0.052132701421801,0.0409090909090909,0.160427807486631,0.141104294478528,0.13302752293578,0.0594059405940594,0.00793650793650794,0,0,0,0,0,0.0166666666666667,0,0.0169491525423729,0.00763358778625954,0.0225563909774436,0.1625,0.0882352941176471,NA,NA,NA,NA,NA,NA,NA
"Tiinkdhul Lake",2551,2642,66.58333,-143.15,NA,0.408304498269896,0.434262948207171,0.433460076045627,0.394366197183099,0.349442379182156,0.291925465838509,0.389067524115756,0.36741214057508,0.35207100591716,0.314102564102564,0.245222929936306,0.226361031518625,0.211302211302211,0.231046931407942,0.159863945578231,0.230769230769231,0.100977198697068,0.00740740740740741,0.00317460317460317,0,0,0,0,0.0129032258064516,0,0,0.00657894736842105,NA,0.015625,0.00840336134453781,NA,0.00431034482758621,NA,0.00598802395209581,NA,0.0540540540540541,NA,0.0816326530612245,0.166666666666667,NA
"Tukuto Lake",10538,16238,68.49686,-157.0356,NA,0.0563380281690141,0.0229885057471264,0.0165289256198347,0.0425531914893617,0.0330578512396694,0.0648464163822526,0.0357142857142857,0.0272373540856031,0.0323624595469256,0.0122699386503068,NA,NA,0.0237154150197628,NA,0.0515463917525773,0.00836820083682008,0.00930232558139535,0.00552486187845304,0,0.0117647058823529,0.00558659217877095,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0.181818181818182
"Upper Capsule Lake",10539,16241,68.630934,-149.417838,0.0308641975308642,0.0234375,0.0228571428571429,0.015625,0.0371747211895911,0.0153061224489796,0.00843881856540084,0.0231958762886598,0.0111111111111111,0.00317460317460317,0.032069970845481,NA,0.00955414012738854,0.010443864229765,0.00711743772241993,0.0352941176470588,0.00854700854700855,0.00396825396825397,0.00568181818181818,0.00520833333333333,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xindi Lake",10102,15189,67.110754,-152.492202,NA,0.267379679144385,0.257990867579909,NA,0.205128205128205,0.241011984021305,NA,0.220543806646526,0.167582417582418,NA,0.16243654822335,0.105906313645621,0.0480549199084668,0.0748898678414097,0.132450331125828,0.00530035335689046,0,0,0,0,0,0,0,0.0118343195266272,0.00319488817891374,0,0,NA,NA,0,NA,0.0277777777777778,NA,0.0128205128205128,0.0555555555555556,NA,0.051948051948052,NA,NA,NA,NA
