"sitename","siteid","datasetid","lat","long","0","500","1000","1500","2000","2500","3000","3500","4000","4500","5000","5500","6000","6500","7000","7500","8000","8500","9000","9500","10000","10500","11000","11500","12000","12500","13000","13500","14000","14500","15000","15500","16000","16500","17000","17500","18000","18500","19000","19500","20000"
"Angal Lake",207,208,67.13333,-153.9,0.183673469387755,NA,NA,0.135531135531136,0.0991735537190083,0.2,0.0925266903914591,0.14453125,0.144781144781145,0.145907473309609,0.127737226277372,0.140350877192982,0.148409893992933,0.118081180811808,NA,0.0596491228070175,0.0301624129930394,0.014336917562724,0.0689655172413793,0.0987124463519313,0.0956521739130435,0.0844444444444445,0.00775193798449612,NA,0,0,0,0,NA,0,0,NA,0,NA,0.0285714285714286,NA,NA,NA,NA,NA,NA
"Crowsnest Lake",513,527,68.33333,-146.48333,NA,NA,NA,NA,NA,NA,NA,NA,0.110655737704918,0.165289256198347,0.246305418719212,0.195061728395062,0.140983606557377,0.125,0.172972972972973,0.14336917562724,0.0643939393939394,0.117647058823529,0.0206185567010309,0.0303030303030303,0.0232558139534884,0,0.0146341463414634,0,0,0.00847457627118644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etivlik Lake",790,811,68.13333,-156.03333,NA,NA,NA,NA,NA,0.0872727272727273,0.0952380952380952,0.0888888888888889,0.0942028985507246,NA,0.0827814569536424,NA,0.0251798561151079,NA,0.0157232704402516,NA,0.0141342756183746,NA,0.0201612903225806,0.0108695652173913,0.00465116279069767,0,0,0,0,0,NA,NA,NA,0,0.00495049504950495,NA,0.00666666666666667,NA,0.0075187969924812,NA,NA,NA,NA,NA,NA
"Headwaters Lake",992,1024,67.93333,-155.05,0.0821256038647343,NA,NA,NA,0.0649350649350649,0.0720338983050847,0.047008547008547,0.0509803921568627,0.0781893004115226,0.0116279069767442,0.0436507936507937,0.0277777777777778,0.0502092050209205,0.00359712230215827,0.0247349823321555,0.00409836065573771,0.02,0.00873362445414847,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joe Lake",1355,1390,66.76667,-157.21667,0.157718120805369,NA,NA,NA,NA,NA,0.0631970260223048,0.0962099125364431,0.110749185667752,0.0668896321070234,0.105121293800539,0.0510204081632653,0.098159509202454,0.0104529616724739,0.0106951871657754,0.00964630225080386,0.00689655172413793,0.0036101083032491,0.00760456273764259,0.00409836065573771,0.0127118644067797,0.0126582278481013,0.00630914826498423,0,0,0,0,0,0,0,0,0,0.0224719101123596,0.0663507109004739,NA,0.0303030303030303,0.025,NA,0.0212765957446809,0.016260162601626,NA
"Kaiyak Lake",1396,1432,68.15,-161.41667,0.0427631578947368,NA,NA,NA,NA,0.0509915014164306,0.0540540540540541,0.0574018126888218,NA,0.0220588235294118,NA,0.03125,NA,0.0188087774294671,0.00854700854700855,NA,NA,0.018348623853211,0.00325732899022801,0.00348432055749129,NA,NA,0.00333333333333333,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0.00390625,NA,0,0,0.0196078431372549,0,0,0
"Kollioksak Lake",1503,1541,66.96667,-156.45,NA,NA,NA,NA,0.0721003134796238,0.0318181818181818,0.100529100529101,0.054380664652568,0.196078431372549,0.0534124629080119,0.0712328767123288,0.0235294117647059,0.0491803278688525,0.0736842105263158,0.0257879656160458,0.0174927113702624,0.0031055900621118,0.014336917562724,0.0100502512562814,0.00636942675159236,0.012396694214876,0.00371747211895911,0.0146198830409357,NA,NA,NA,0.0339506172839506,NA,NA,0.0117302052785924,NA,NA,0.00909090909090909,NA,0.0333333333333333,0,NA,NA,NA,NA,NA
"Minakokosa Lake",1699,1755,66.91667,-155.03333,NA,NA,NA,NA,NA,NA,0.314199395770393,0.280519480519481,0.284883720930233,0.244372990353698,0.327536231884058,0.0567375886524823,0.140350877192982,0.133704735376045,0.0280373831775701,0.135693215339233,0.0588235294117647,0.0316455696202532,0.049618320610687,0.176470588235294,NA,0.0501930501930502,NA,0.0115830115830116,0,NA,0,0.00735294117647059,0,0,0,0.0168539325842697,0,0.00641025641025641,0.00666666666666667,0.0196078431372549,0.0294117647058824,0.0202020202020202,NA,0.0952380952380952,0.0317460317460317
"Niliq Lake",1748,1806,67.86667,-160.43333,NA,NA,NA,NA,0.0264026402640264,0.0290909090909091,NA,0.0137931034482759,0.0249110320284698,0.0185185185185185,NA,0.0161725067385445,0.0121457489878543,0.00289855072463768,0.00252525252525253,0,0.00208333333333333,0,0.0037037037037037,0,0,0.00490196078431373,0,0,0,0,0,0,0,0,0,0,0,0.0285714285714286,0.0158730158730159,NA,NA,NA,NA,NA,NA
"North Killeak Lake",11583,17345,66.363098,-164.0618,0.0492610837438424,0.0456852791878173,0.0566037735849057,0.0878048780487805,0.127906976744186,0.0313725490196078,0.0199203187250996,0.0170212765957447,0.0230769230769231,0.0150943396226415,0,0.00699300699300699,0.00354609929078014,0,0.00418410041841004,0,0.00578034682080925,0.00840336134453781,0.00421940928270042,0.0087719298245614,0,0,0.00480769230769231,0.00476190476190476,0,0,0.00411522633744856,0.00495049504950495,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
