Locality,Site Name,Longitude (°E),Latitude (°N),150-499,500-999,1000-1499,1500-1999,2000-2499,2500-2999,3000-3499,3500-3999,4000-4499,4500-4999,5000-5499,5500-5999,6000-6499,6500-6999,7000-7499,7500-7999,8000-8499,8500-8999,9000-9499,9500-9999,10000-10499,10500-10999,11000-11499,11500-11999,12000-12499,12500-12999,13000-13499,13500-13999,14000-14499,14500-14999,15000-15499,15500-15999,16000-16499,16500-16999,17000-17499,17500-17999,18000-18499,18500-18999,19000-19499,19500-19999
1,Red Green Lake,-149.681235,68.65421,20,12,21,14,20,15,20,27,25,15,19,27,13,6,9,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Upper Capsule Lake,-149.416925,68.631445,2,2,5,4,6,6,2,2,2,1,2,NA,3,4,2,9,2,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Crowsnest Lake,-146.48333,68.33333,27,54,63,50,60,77,60,59,41,74,45,29,57,32,30,17,26,4,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Seagull Lake,-145.21667,68.26667,30,26,27,NA,38,26,43,57,63,61,33,65,42,34,NA,30,87,63,15,1,0,0,1,0,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Tukuto Lake,-157.0301,68.4988,0,3,1,0,5,7,7,2,7,1,1,4,NA,6,NA,10,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,6,NA
6,Kaiyak Lake,-161.41667,68.15,NA,NA,18,NA,18,NA,NA,19,6,NA,10,NA,6,3,NA,6,1,1,NA,1,NA,NA,0,NA,NA,0,NA,NA,1,0,1,0,0,0,0,0,0,2,1,1
7,Niliq Lake,-160.43333,67.86667,NA,NA,16,8,NA,8,4,7,5,6,NA,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Etivlik Lake,-156.03333,68.13333,NA,24,32,NA,24,NA,NA,26,NA,25,7,NA,5,NA,4,NA,5,1,0,0,0,0,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Headwaters Lake,-155.05,67.93333,15,17,NA,14,11,13,13,13,14,3,7,6,1,1,5,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Redondo Lake,-155.03333,67.68333,9,14,20,6,7,0,8,1,3,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Screaming Yellowlegs Pond,-151.41667,67.58333,NA,83,86,NA,50,45,98,NA,41,45,19,17,25,19,60,50,23,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Rebel Lake,-149.8,67.41667,NA,42,36,33,40,26,NA,49,34,46,NA,25,19,28,19,27,12,1,0,NA,0,0,NA,0,0,0,0,1,1,NA,5,8,NA,9,5,NA,0,NA,3,NA
13,Sakana Lake,-147.85,67.43333,101,NA,10,NA,121,NA,117,NA,NA,167,112,NA,82,NA,105,100,0,0,0,1,NA,NA,2,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Redstone Lake,-152.6,67.25,19,NA,29,NA,26,20,NA,NA,19,23,NA,17,12,6,6,5,1,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Xindi Lake,-152.491385,67.111235,100,113,54,NA,80,90.5,NA,73,61,NA,64,25.5,26,12,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,1,NA,5,4,NA,NA,NA,NA
16,Ranger Lake,-153.65,67.14722,43,47,55,42,50,47,33,56,55,33,25,10,11,3,9,8,NA,5,0,0,NA,0,0,NA,1,NA,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Angal Lake,-153.9,67.13333,38,37,24,54,40,26,43,41,57,35,40,42,32,17,11,4,6,23,19,2,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Ruppert Lake,-154.23333,67.06667,NA,66,63,69,85,NA,NA,102,65,58,29,8,5,2,7,4,3,1,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Minakokosa Lake,-155.03333,66.91667,115,104,90,108,98,85,94,125,76,16,40,48,9,26,16,10,13,45,63,3,5,0,0,1,0,0,3,0,1,2,2,4,3,NA,NA,NA,NA,NA,NA,NA
20,Kollioksak,-156.45,66.96667,NA,NA,NA,23,NA,14,22,18,18,8,20,15,9,6,1,4,4,2,1,5,NA,NA,11,NA,4,NA,NA,3,10,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Joe Lake,-157.21667,66.76667,NA,17,33,NA,34,20,NA,39,15,NA,32,14,3,NA,NA,4,2,1,3,2,0,0,0,0,0,0,0,2,2,NA,NA,2,NA,NA,NA,1,NA,NA,NA,2
22,Tiinkdhul Lake,-143.15,66.58333,109,100,90,89,84,94,94,121,115,98,77,79,86,64,47,0,0,0,0,0,0,2,0,1,3,2,NA,1,1,NA,6,3,NA,6,6,NA,2,2,NA,3
23,Screaming Lynx Lake,-145.405555,66.068205,66,34,55,68,56,69,56,30,46,24,25,17,32,37,NA,42,20,26,9,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Sands of Time Lake,-147.55331,66.029335,NA,112,109,81,65,59,93,102,59,89,57,62,48,36,26,23,39,49,NA,31,6,NA,1,NA,1,NA,0,0,NA,NA,4,NA,NA,3,NA,4,NA,1,NA,6
