"sitename","siteid","datasetid","lat","long","0","500","1000","1500","2000","2500","3000","3500","4000","4500","5000","5500","6000","6500","7000","7500","8000","8500","9000","9500","10000","10500","11000","11500","12000","12500","13000","13500","14000","14500","15000","15500","16000","16500","17000","17500","18000","18500","19000","19500","20000"
"Angal Lake",207,208,67.13333,-153.9,1,NA,NA,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,5,NA,11,11,18,NA,1,0,2,NA,1,2,1,NA,NA,NA,NA,NA,NA
"Crowsnest Lake",513,527,68.33333,-146.48333,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,4,1,1,1,8,3,5,3,1,0,8,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etivlik Lake",790,811,68.13333,-156.03333,NA,NA,NA,NA,NA,0,0,0,0,NA,1,NA,1,NA,0,NA,0,NA,3,4,12,0,6,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA
"Glacial Lake",846,875,64.86667,-166.26667,NA,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,8,4,8,5,2,0,3,2,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Headwaters Lake",992,1024,67.93333,-155.05,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joe Lake",1355,1390,66.76667,-157.21667,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,3,0,0,0,4,4,2,7,19,77,66,14,2,0,1,2,0,0,0,2,NA,3,0,NA,0,0,NA
"Kaiyak Lake",1396,1432,68.15,-161.41667,5,NA,NA,NA,NA,4,NA,1,NA,5,NA,5,NA,3,4,NA,NA,0,4,0,NA,NA,2,NA,NA,NA,0,NA,NA,NA,0,NA,NA,2,NA,0,0,2,4,3,0
"Kollioksak",1503,1541,66.96667,-156.45,NA,NA,NA,NA,0,0,1,1,0,1,1,1,3,10,0,0,2,0,1,1,0,17,10,NA,NA,NA,4,NA,NA,1,NA,NA,7,NA,6,NA,NA,NA,NA,NA,NA
"Minakokosa Lake",1699,1755,66.91667,-155.03333,NA,NA,NA,NA,NA,NA,1,2,0,2,4,0,2,4,0,2,7,5,8,3,NA,19,NA,31,27,NA,44,12,3,13,8,7,1,0,7,14,3,23,3,0,NA
"Niliq Lake",1748,1806,67.86667,-160.43333,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,1,1,0,0,2,1,2,4,5,8,20,2,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"North Killeak Lake",11583,17345,66.363098,-164.0618,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,2,7,5,15,5,18,0,1,5,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ranger Lake",1955,2025,67.14722,-153.65,0,NA,2,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,NA,1,NA,8,NA,3,NA,1,0,3,1,0,0,0,3,5,0,0,0,4,2,0,0
"Rebel Lake",1973,2045,67.41667,-149.8,2,5,0,5,2,1,NA,1,4,1,NA,2,1,0,9,0,2,2,12,NA,4,9,NA,0,11,5,1,2,0,NA,3,0,NA,0,0,NA,0,NA,2,NA,0
"Red Green Lake",10537,16236,68.654086,-149.681654,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Redondo Lake",1974,2047,67.68333,-155.03333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Redstone Lake",1977,2050,67.25,-152.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,4,0,0,0,0,1,2,25,2,2,2,1,1,7,2,NA,4,0,1,1,2,4,3,1,NA,NA,NA,NA
"Ruppert Lake",2232,2311,67.06667,-154.23333,NA,NA,4,0,1,NA,NA,0,0,1,0,2,1,0,1,4,4,5,2,18,NA,47,77,96,63,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sakana Lake",2245,2324,67.43333,-147.85,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,NA,0,1,16,57,26,94,NA,NA,56,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sands of Time Lake",11575,17328,66.027922,-147.556308,NA,NA,NA,0,1,0,1,1,3,5,3,0,2,0,0,0,2,6,NA,14,11,84,NA,50,NA,65,3,0,NA,NA,0,NA,NA,1,NA,0,NA,0,0,NA,0
"Screaming Lynx Lake",13690,20872,66.068048,-145.406216,0,5,1,3,0,1,2,4,1,4,0,1,2,1,NA,13,NA,8,64,58,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Screaming Yellowlegs Pond",2270,2351,67.58333,-151.41667,0,NA,NA,NA,1,2,0,1,NA,0,0,NA,0,3,0,2,11,4,6,NA,8,NA,22,53,17,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Seagull Lake",2271,2352,68.26667,-145.21667,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,NA,0,0,3,5,2,0,3,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sithylemenkat Lake",11579,17338,66.121544,-151.398584,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,8,13,23,37,15,1,0,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA
"Tiinkdhul Lake",2551,2642,66.58333,-143.15,NA,1,2,2,0,NA,1,NA,1,0,0,0,0,0,0,5,NA,48,45,58,52,31,4,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,0,NA
"Tukuto Lake",10538,16238,68.49686,-157.0356,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0,NA,0,0,0,7,0,1,2,0,3,0,1,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0
"Upper Capsule Lake",10539,16241,68.630934,-149.417838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xindi Lake",10102,15189,67.110754,-152.492202,NA,0,0,NA,1,4,NA,0,3,NA,0,4,2,7,4,49,69,62,57,40,40,14,1,0,0,0,0,NA,NA,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA
