"sitename","siteid","datasetid","lat","long","0","500","1000","1500","2000","2500","3000","3500","4000","4500","5000","5500","6000","6500","7000","7500","8000","8500","9000","9500","10000","10500","11000","11500","12000","12500","13000","13500","14000","14500","15000","15500","16000","16500","17000","17500","18000","18500","19000","19500","20000"
"Angal Lake",207,208,67.13333,-153.9,0.00408163265306122,NA,NA,0,0,0,0,0,0.00336700336700337,0,0.00364963503649635,0,0.00353356890459364,0.00738007380073801,NA,0,0,0,0,0,0,0,0.0193798449612403,NA,0.0476190476190476,0.0514018691588785,0.08,0.00490196078431373,NA,0,0.00858369098712446,NA,0.027027027027027,NA,0.0303030303030303,NA,NA,NA,NA,NA,NA
"Crowsnest Lake",513,527,68.33333,-146.48333,NA,NA,NA,NA,NA,NA,NA,NA,0.0286885245901639,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00980392156862745,0,0.00680272108843537,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etivlik Lake",790,811,68.13333,-156.03333,NA,NA,NA,NA,NA,0,0,0,0,NA,0.00331125827814569,NA,0.00359712230215827,NA,0,NA,0,NA,0.00411522633744856,0.00643086816720257,0.0558139534883721,0,0.0269058295964126,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA
"Headwaters Lake",992,1024,67.93333,-155.05,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.0155038759689922,0,0,0,0,0,0,0.0357142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joe Lake",1355,1390,66.76667,-157.21667,0.00335570469798658,NA,NA,NA,NA,NA,0.00371747211895911,0,0,0,0,0,0,0,0.00802139037433155,0,0,0,0.0152091254752852,0.0163934426229508,0.00847457627118644,0.00316455696202532,0.0183823529411765,0.0790273556231003,0.09765625,0,0,0,0,0.00469483568075117,0,0,0,0.00947867298578199,NA,0.0454545454545454,0,NA,0,0,NA
"Kaiyak Lake",1396,1432,68.15,-161.41667,0.0164473684210526,NA,NA,NA,NA,0.0113314447592068,0.012012012012012,0.00302114803625378,NA,0.0183823529411765,NA,0.015625,NA,0.00940438871473354,0.0113960113960114,NA,NA,0,0.00303951367781155,0,NA,NA,0.00666666666666667,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0.0078125,NA,0,0,0.0392156862745098,0.181818181818182,0.125,0
"Kollioksak Lake",1503,1541,66.96667,-156.45,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631970260223048,0.0292397660818713,NA,NA,NA,0.0123456790123457,NA,NA,0.00293255131964809,NA,NA,0.0212121212121212,NA,0,0.0147058823529412,NA,NA,NA,NA,NA
"Minakokosa Lake",1699,1755,66.91667,-155.03333,NA,NA,NA,NA,NA,NA,0,0,0,0,0.0115942028985507,0,0.00350877192982456,0,0,0.00589970501474926,0,0.00316455696202532,0,0.0117647058823529,NA,0.0264150943396226,NA,0.0501930501930502,0.124,NA,0.206572769953052,0.0882352941176471,0.0197368421052632,0.0747126436781609,0.0427807486631016,0.0393258426966292,0.00561797752808989,0,0.0466666666666667,0.137254901960784,0.0441176470588235,0.232323232323232,NA,0.0476190476190476,0
"Niliq Lake",1748,1806,67.86667,-160.43333,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0.00208333333333333,0,0,0,0,0,0,0.0133928571428571,0.00458715596330275,0.05,0.00917431192660551,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"North Killeak Lake",11583,17345,66.363098,-164.0618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0.0212765957446809,0.0311284046692607,0,0.00476190476190476,0.0284090909090909,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ranger Lake",1955,2025,67.14722,-153.65,0,NA,NA,0,0,0,0,0,0.0105263157894737,0,0,0,0,0,0,0,0.00434782608695652,0,NA,0.00383141762452107,NA,0.037037037037037,NA,0.0122950819672131,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red Green Lake",10537,16236,68.654086,-149.681654,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Redondo Lake",1974,2047,67.68333,-155.03333,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
