"sitename","siteid","datasetid","lat","long","0","500","1000","1500","2000","2500","3000","3500","4000","4500","5000","5500","6000","6500","7000","7500","8000","8500","9000","9500","10000","10500","11000","11500","12000","12500","13000","13500","14000","14500","15000","15500","16000","16500","17000","17500","18000","18500","19000","19500","20000"
"Angal Lake",207,208,67.13333,-153.9,0.013745704467354,NA,NA,0.0155763239875389,0.00327868852459016,0.0154798761609907,0.0154320987654321,0.0194174757281553,0.00613496932515337,0.0122324159021407,0.00943396226415094,0.018018018018018,0.00306748466257669,0.00651465798045603,NA,0.00928792569659443,0.00630914826498423,0.0232558139534884,0.00248756218905473,0.020066889632107,0.0344827586206897,0.016025641025641,0.0440251572327044,NA,0.0811688311688312,0.1,0.113207547169811,0.0491803278688525,NA,0.0493421052631579,0.0353697749196141,NA,0.158415841584158,NA,0.138755980861244,NA,NA,NA,NA,NA,NA
"Crowsnest Lake",513,527,68.33333,-146.48333,NA,NA,NA,NA,NA,NA,NA,NA,0.0348837209302326,0.0308988764044944,0.0337837837837838,0.0205128205128205,0.0316622691292876,0.0255863539445629,0.0276073619631902,0.0159744408945687,0.027190332326284,0.0318181818181818,0.0487804878048781,0.0383386581469649,0.0581395348837209,0.0497237569060773,0.0461095100864553,0.0124223602484472,0.0340557275541796,0.0272727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etivlik Lake",790,811,68.13333,-156.03333,NA,NA,NA,NA,NA,0.0227920227920228,0.0149253731343284,0.0202312138728324,0.0112994350282486,NA,0.0158730158730159,NA,0.00617283950617284,NA,0.020997375328084,NA,0.00302114803625378,NA,0.0148809523809524,0.0334645669291339,0.0524590163934426,0.0564971751412429,0.0457142857142857,0.0919881305637982,0.0512820512820513,0.056379821958457,NA,NA,NA,0.045016077170418,0.0440097799511002,NA,0.0647249190938511,NA,0.0648967551622419,NA,NA,NA,NA,NA,NA
"Headwaters Lake",992,1024,67.93333,-155.05,0.0296052631578947,NA,NA,NA,0.0482315112540193,0.0402684563758389,0.0440677966101695,0.0317460317460317,0.0198675496688742,0.0253164556962025,0.0133779264214047,0.0133333333333333,0.0130718954248366,0.0159235668789809,0.00977198697068404,0.0228758169934641,0.0324675324675325,0.0304054054054054,0.0466666666666667,NA,0.0426229508196721,0.0160771704180064,0.0462046204620462,0.0687285223367698,0.0730897009966777,0.0385852090032154,0.123333333333333,0.217687074829932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joe Lake",1355,1390,66.76667,-157.21667,0.0150602409638554,NA,NA,NA,NA,NA,0.0241691842900302,0.0200501253132832,0.0111111111111111,0.0118343195266272,0.0214797136038186,0.0173913043478261,0.0140845070422535,0.0188679245283019,0.0143884892086331,0.00278551532033426,0.00884955752212389,0.0125391849529781,0.0276073619631902,0.0536723163841808,0.0422960725075529,0.0687960687960688,0.0568181818181818,0.14025974025974,0.119402985074627,0.217765042979943,0.100558659217877,0.078740157480315,0.0841836734693878,0.0916230366492147,0.203960396039604,0.163784333672431,0.160747663551402,0.0943025540275049,NA,0.105065666041276,0.0901960784313725,NA,0.048828125,0.0479846449136276,NA
"Kaiyak Lake",1396,1432,68.15,-161.41667,0.0140845070422535,NA,NA,NA,NA,0.0219298245614035,0.0447761194029851,0.017353579175705,NA,0.0253807106598985,NA,0.0323325635103926,NA,0.0248138957816377,0.018058690744921,NA,NA,0.0197530864197531,0.036231884057971,0.0284237726098191,NA,NA,0.0177215189873418,NA,NA,NA,0.072992700729927,NA,NA,0.11138014527845,NA,NA,NA,0.0421836228287841,NA,0.153061224489796,0.0619469026548673,0.0906515580736544,0.0858585858585859,0.0950226244343891,0.0811594202898551
"Kollioksak Lake",1503,1541,66.96667,-156.45,NA,NA,NA,NA,0.019774011299435,0.024,0.0198019801980198,0.0144508670520231,0.00477326968973747,0.0171428571428571,0.0157894736842105,0.0218579234972678,0.00925925925925926,0.0139211136890951,0,0.0101010101010101,0.0120772946859903,0.00996677740863787,0.0141509433962264,0.0145348837209302,0.0197628458498024,0.0759162303664921,0.0263157894736842,NA,NA,NA,0.0190217391304348,NA,NA,0.036231884057971,NA,NA,0.0416666666666667,NA,0.0412371134020619,0.105413105413105,NA,NA,NA,NA,NA
"Minakokosa Lake",1699,1755,66.91667,-155.03333,NA,NA,NA,NA,NA,NA,0.0119402985074627,0.0100671140939597,0.0125786163522013,0.0304878048780488,0.0238095238095238,0.0152905198776758,0.0276073619631902,0.00797872340425532,0.0190023752969121,0.0174563591022444,0.0392156862745098,0.0246153846153846,0.048048048048048,0.0376175548589342,NA,0.0743034055727554,NA,0.131964809384164,0.148264984227129,NA,0.190615835777126,0.166666666666667,0.219584569732938,0.0557103064066852,0.16,0.0900621118012422,0.1125,0.143283582089552,0.135313531353135,0.088135593220339,0.082018927444795,0.133720930232558,NA,0.136075949367089,0.157738095238095
"Niliq Lake",1748,1806,67.86667,-160.43333,NA,NA,NA,NA,0.0361111111111111,0.0116959064327485,NA,0.0140056022408964,0.0341614906832298,0.0263157894736842,NA,0.0112866817155756,0.00643086816720257,0.00523560209424084,0,0.0180722891566265,0.00553505535055351,0.00581395348837209,0.028328611898017,0.0186915887850467,0.0308988764044944,0.0332409972299169,0.0544412607449857,0.0431034482758621,0.0625,0.117117117117117,0.0985074626865672,0.0601719197707736,0.0535714285714286,0.0549132947976879,0.0344827586206897,0.106194690265487,0.148541114058355,0.0953757225433526,0.139364303178484,NA,NA,NA,NA,NA,NA
"North Killeak Lake",11583,17345,66.363098,-164.0618,0.0454545454545455,0.0196078431372549,0.0140845070422535,0.00920245398773006,0.0191780821917808,0.0294117647058824,0.0217391304347826,0.0209580838323353,0.0204678362573099,0.00943396226415094,0.0173913043478261,0.0242587601078167,0.0241691842900302,0.0233236151603499,0.0416666666666667,0.0739644970414201,0.0465116279069767,0.0480769230769231,0.0780346820809249,0.0745341614906832,0.075801749271137,0.125827814569536,0.191435768261965,0.0934844192634561,0.0534591194968553,0.0757575757575758,0.0708215297450425,0.0664961636828645,0.188271604938272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
