"sitename","siteid","datasetid","lat","long","0","500","1000","1500","2000","2500","3000","3500","4000","4500","5000","5500","6000","6500","7000","7500","8000","8500","9000","9500","10000","10500","11000","11500","12000","12500","13000","13500","14000","14500","15000","15500","16000","16500","17000","17500","18000","18500","19000","19500","20000"
"Angal Lake",207,208,67.13333,-153.9,0.013745704467354,NA,NA,0,0.00327868852459016,0.0154798761609907,0.00917431192660551,0.0194174757281553,0.00613496932515337,0.0105540897097625,0.00943396226415094,0.00983606557377049,0.00306748466257669,0.00651465798045603,NA,0.00164473684210526,0.00210526315789474,0.0196078431372549,0.00248756218905473,0.020066889632107,0.0344827586206897,0.016025641025641,0.0440251572327044,NA,0.0811688311688312,0.1,0.113207547169811,0.0491803278688525,NA,0.0493421052631579,0.0353697749196141,NA,0.158415841584158,NA,0.118811881188119,NA,NA,NA,NA,NA,NA
"Crowsnest Lake",513,527,68.33333,-146.48333,NA,NA,NA,NA,NA,NA,NA,NA,0.0348837209302326,0.00657894736842105,0.0123839009287926,0.0128617363344051,0.00865800865800866,0.0124113475177305,0.0193370165745856,0.0099009900990099,0.0148305084745763,0.0115273775216138,0.0219298245614035,0.0165745856353591,0.0228013029315961,0.0285714285714286,0.0378151260504202,0.00611620795107034,0.0166204986149584,0.023696682464455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etivlik Lake",790,811,68.13333,-156.03333,NA,NA,NA,NA,NA,0.0227920227920228,0.00808625336927224,0.0202312138728324,0.0112994350282486,NA,0.0158730158730159,NA,0.00617283950617284,NA,0.020997375328084,NA,0.00302114803625378,NA,0.0134048257372654,0.0145985401459854,0.0524590163934426,0.0564971751412429,0.0457142857142857,0.0919881305637982,0.0512820512820513,0.056379821958457,NA,NA,NA,0.045016077170418,0.0440097799511002,NA,0.0647249190938511,NA,0.0648967551622419,NA,NA,NA,NA,NA,NA
"Headwaters Lake",992,1024,67.93333,-155.05,0.0296052631578947,NA,NA,NA,0.0482315112540193,0.0333333333333333,0.027027027027027,0.0163934426229508,0.0198675496688742,0.0128205128205128,0.0133779264214047,0.0133333333333333,0.0130718954248366,0.0125,0.00977198697068404,0.0228758169934641,0.0324675324675325,0.0304054054054054,0.0466666666666667,NA,0.0426229508196721,0.0160771704180064,0.0462046204620462,0.0687285223367698,0.0730897009966777,0.0385852090032154,0.123333333333333,0.217687074829932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joe Lake",1355,1390,66.76667,-157.21667,0.0150602409638554,NA,NA,NA,NA,NA,0.0241691842900302,0.0200501253132832,0.0111111111111111,0.0118343195266272,0.0214797136038186,0.0173913043478261,0.0140845070422535,0.00920245398773006,0.0143884892086331,0.00278551532033426,0.00884955752212389,0.0125391849529781,0.0276073619631902,0.0536723163841808,0.0422960725075529,0.0687960687960688,0.0343007915567282,0.0845771144278607,0.0977011494252874,0.10410094637224,0.0526315789473684,0.0524017467248908,0.0467706013363029,0.0875,0.065625,0.163784333672431,0.160747663551402,0.0943025540275049,NA,0.105065666041276,0.0901960784313725,NA,0.048828125,0.0479846449136276,NA
"Kaiyak Lake",1396,1432,68.15,-161.41667,0.0140845070422535,NA,NA,NA,NA,0.0219298245614035,0.0447761194029851,0.017353579175705,NA,0.0253807106598985,NA,0.0323325635103926,NA,0.0248138957816377,0.018058690744921,NA,NA,0.0197530864197531,0.0258215962441315,0.0284237726098191,NA,NA,0.0177215189873418,NA,NA,NA,0.072992700729927,NA,NA,0.11138014527845,NA,NA,NA,0.0421836228287841,NA,0.153061224489796,0.0619469026548673,0.0906515580736544,0.0858585858585859,0.0950226244343891,0.0594059405940594
"Kollioksak Lake",1503,1541,66.96667,-156.45,NA,NA,NA,NA,0.019774011299435,0.0124740124740125,0.00255754475703325,0.0027027027027027,0,0.00512820512820513,0.0076530612244898,0.00649350649350649,0.00199203187250996,0.00323624595469256,0,0.00563380281690141,0.00443458980044346,0.0097799511002445,0.00564971751412429,0.00522193211488251,0.0179640718562874,0.0759162303664921,0.0263157894736842,NA,NA,NA,0.0190217391304348,NA,NA,0.036231884057971,NA,NA,0.0416666666666667,NA,0.0412371134020619,0.0407608695652174,NA,NA,NA,NA,NA
"Minakokosa Lake",1699,1755,66.91667,-155.03333,NA,NA,NA,NA,NA,NA,0.002710027100271,0.00943396226415094,0.0106100795755968,0.0132978723404255,0.0238095238095238,0.00611620795107034,0.0174418604651163,0.00738916256157635,0.00898203592814371,0.0174563591022444,0.0141242937853107,0,0.0132275132275132,0.0376175548589342,NA,0.0588235294117647,NA,0.131964809384164,0.128279883381924,NA,0.190615835777126,0.166666666666667,0.219584569732938,0.0557103064066852,0.16,0.0900621118012422,0.1125,0.143283582089552,0.135313531353135,0.088135593220339,0.082018927444795,0.133720930232558,NA,0.136075949367089,0.157738095238095
"Niliq Lake",1748,1806,67.86667,-160.43333,NA,NA,NA,NA,0.00544959128065395,0.0116959064327485,NA,0.0140056022408964,0.0341614906832298,0.0263157894736842,NA,0.0112866817155756,0.00643086816720257,0.00523560209424084,0,0.0101010101010101,0.00553505535055351,0.00581395348837209,0.028328611898017,0.0182370820668693,0.0194174757281553,0.021978021978022,0.0498533724340176,0.0371428571428571,0.0504451038575668,0.053475935828877,0.0985074626865672,0.0497076023391813,0.0535714285714286,0.0549132947976879,0.0344827586206897,0.0262390670553936,0.0778894472361809,0.0953757225433526,0.139364303178484,NA,NA,NA,NA,NA,NA
"North Killeak Lake",11583,17345,66.363098,-164.0618,0.0386904761904762,0.0196078431372549,0.0140845070422535,0.00920245398773006,0.0191780821917808,0.0109289617486339,0.0217391304347826,0.0032258064516129,0.00308641975308642,0,0.00993377483443709,0.0114613180515759,0.021671826625387,0.0110192837465565,0.0416666666666667,0.023121387283237,0.0191082802547771,0.0404984423676012,0.0628930817610063,0.0432098765432099,0.0638297872340425,0.067741935483871,0.144144144144144,0.0293255131964809,0.0388349514563107,0.0313479623824451,0.0326409495548961,0.0588235294117647,0.188271604938272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ranger Lake",1955,2025,67.14722,-153.65,0.0274390243902439,NA,NA,0.0033112582781457,0.00628930817610063,0.0137362637362637,0.00302114803625378,0.00323624595469256,0.0145348837209302,0.00316455696202532,0.0106157112526539,0.0128205128205128,0.00548446069469835,0.00641025641025641,0.00162337662337662,0,0.0214067278287462,0.0215384615384615,NA,0.0229508196721311,NA,0.067741935483871,NA,0.0993788819875776,0.0380952380952381,0.0620915032679739,0.0985221674876847,0.0703517587939698,0.128888888888889,0.0882352941176471,0.00550964187327824,0.00244498777506112,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red Green Lake",10537,16236,68.654086,-149.681654,NA,0.0120845921450151,0.00289017341040462,0.0234375,0.0196629213483146,0.0140515222482436,0.00441501103752759,0.0273972602739726,0.0240963855421687,0.0301659125188537,0.0116279069767442,NA,0.00681818181818182,0.0173053152039555,0.0155339805825243,0.0109409190371991,0.00696864111498258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Redondo Lake",1974,2047,67.68333,-155.03333,0.0231788079470199,0.0126984126984127,0.0114613180515759,0.00974025974025974,0.00313479623824451,NA,0.00668896321070234,0.00925925925925926,0.00952380952380952,NA,0.00579710144927536,0.0184049079754601,0.00958466453674121,NA,NA,0.01875,0.00315457413249211,0.0185758513931889,NA,0.0313479623824451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Redstone Lake",1977,2050,67.25,-152.6,0.00934579439252336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00323624595469256,0.00920245398773006,0.00649350649350649,0.00917431192660551,0,0.00647249190938511,0.00328947368421053,0.0337837837837838,0.128712871287129,0.0341296928327645,0.0610169491525424,0.0679611650485437,0.0271186440677966,0.102389078498294,0.111888111888112,0.181818181818182,0.194871794871795,0.185929648241206,0.157360406091371,0.2,0.0993788819875776,0.0721649484536082,0.0479452054794521,NA,NA,NA,NA,NA,NA
"Ruppert Lake",2232,2311,67.06667,-154.23333,NA,NA,NA,0.0107238605898123,0.00550964187327824,NA,NA,0.00261780104712042,0,0.00307692307692308,0.012779552715655,0.00307692307692308,0,0.00595238095238095,0.00625,0.0174825174825175,0.027355623100304,0.00515463917525773,0.0473186119873817,0.067741935483871,0.0699588477366255,0,0.0909090909090909,0.161184210526316,0.0836120401337793,0.0960264900662252,0.04375,0.142857142857143,0.112211221122112,0.0477707006369427,0.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
