Locality,Site Name,Longitude (°E),Latitude (°N),150-499,500-999,1000-1499,1500-1999,2000-2499,2500-2999,3000-3499,3500-3999,4000-4499,4500-4999,5000-5499,5500-5999,6000-6499,6500-6999,7000-7499,7500-7999,8000-8499,8500-8999,9000-9499,9500-9999,10000-10499,10500-10999,11000-11499,11500-11999,12000-12499,12500-12999,13000-13499,13500-13999,14000-14499,14500-14999,15000-15499,15500-15999,16000-16499,16500-16999,17000-17499,17500-17999,18000-18499,18500-18999,19000-19499,19500-19999
1,Red Green Lake,-149.681235,68.65421,14,9,13,14,13,11,2,12,12,20,5,12,3,14,8,8,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Upper Capsule Lake,-149.416925,68.631445,7,10,12,13,11,2,2,15,7,2,15,NA,6,27,12,12,8,22,17,15,18,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Crowsnest Lake,-146.48333,68.33333,12,9,4,7,10,6,10,8,12,8,7,12,8,12,6,9,6,15,15,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Seagull Lake,-145.21667,68.26667,5,0,6,NA,8,4,5,6,2,6,2,6,4,3,NA,3,7,5,2,18,20,20,32,9,NA,10,16,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Tukuto Lake,-157.0301,68.4988,19,14,30,27,31,27,36,29,15,32,17,20,NA,17,NA,32,29,44,30,41,38,35,42,50,45,49,39,58,78,65,98,115,74,NA,NA,50,NA,NA,16,NA
6,Kaiyak Lake,-161.41667,68.15,NA,NA,10,NA,21,NA,NA,8,10,NA,14,NA,10,8,NA,8,15,11,NA,7,NA,NA,30,NA,NA,46,NA,NA,17,30,32,17,28,12,26,13,11,19,19,3
7,Niliq Lake,-160.43333,67.86667,NA,NA,13,2,NA,4,5,11,9,5,NA,2,2,6,3,2,10,11,8,19,19,39,33,21,19,13,56,33,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Etivlik Lake,-156.03333,68.13333,NA,3,6,NA,7,NA,NA,4,NA,6,2,NA,8,NA,1,NA,5,17,20,16,31,19,NA,NA,14,18,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Headwaters Lake,-155.05,67.93333,15,12,NA,13,9,9,5,10,8,4,4,5,4,7,10,9,14,13,5,14,20,22,12,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Redondo Lake,-155.03333,67.68333,7,7,7,6,8,2,9,3,6,3,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Screaming Yellowlegs Pond,-151.41667,67.58333,NA,12,16,NA,11,12,4,NA,8,3,7,4,7,6,6,14,21,22,25,27,21,51,19,19,46,78,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Rebel Lake,-149.8,67.41667,NA,11,16,10,4,12,NA,8,2,13,NA,7,3,6,13,24,34,37,36,NA,37,35,NA,29,25,32,95,92,66,NA,17,28,NA,19,13,NA,33,NA,11,NA
13,Sakana Lake,-147.85,67.43333,21,NA,4,NA,9,NA,12,NA,NA,8,6,NA,7,NA,14,8,41,58,33,25,NA,NA,59,NA,NA,24,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Redstone Lake,-152.6,67.25,1,NA,3,NA,7,3,NA,NA,3,4,NA,3,2,3,3,8,10,48,39,22,23,30,34,38,65,31,40,17,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Xindi Lake,-152.491385,67.111235,7,4,6,NA,8,8,NA,6,5,NA,10,10,12,11,25,66,62,61,38,32,41,85,36,32,24,23,16,21,16,10,66,NA,75,NA,84,70,NA,NA,NA,NA
16,Ranger Lake,-153.65,67.14722,5,2,3,2,5,5,8,5,1,5,4,3,3,8,7,7,NA,7,21,32,NA,16,19,NA,29,NA,42,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Angal Lake,-153.9,67.13333,0,5,1,5,5,6,2,4,4,3,6,1,2,3,2,6,7,6,11,14,25,31,36,15,15,11,32,29,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Ruppert Lake,-154.23333,67.06667,NA,8,7,4,2,NA,NA,3,1,4,4,3,2,13,15,12,15,15,21,23,40,49,69,29,34,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Minakokosa Lake,-15.03333,66.91667,4,1,3,4,4,4,8,5,10,9,9,6,4,8,7,12,16,12,24,20,45,44,65,51,74,52,29,48,41,26,53,40,24,NA,NA,NA,NA,NA,NA,NA
20,Kollioksak,-156.45,66.96667,NA,NA,NA,7,NA,9,5,5,6,8,3,3,6,4,5,4,6,5,29,11,NA,NA,7,NA,15,NA,NA,16,16,37,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Joe Lake,-157.21667,66.76667,NA,8,8,NA,4,4,NA,9,6,NA,5,7,3,NA,NA,6,3,19,28,22,54,76,36,29,35,103,161,86,56,NA,NA,46,NA,NA,NA,25,NA,NA,NA,25
22,Tiinkdhul Lake,-143.15,66.58333,22,15,17,14,14,6,6,9,7,8,2,13,7,8,21,34,36,37,80,74,14,35,31,21,33,38,NA,52,30,NA,41,23,NA,27,48,NA,2,8,NA,2
23,Screaming Lynx Lake,-145.405555,66.068205,10,17,14,7,12,23,12,13,16,10,2,5,8,6,NA,9,6,10,24,15,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Sands of Time Lake,-147.55331,66.029335,NA,16,22,29,7,9,14,11,3,5,3,6,5,1,13,3,12,11,NA,4,45,NA,38,NA,24,NA,82,9,NA,NA,48,NA,NA,30,NA,23,NA,45,NA,31
25,Sithylemenkat Lake,-151.391555,66.12399,5,8,NA,1,3,3,3,3,1,2,3,2,0,1,1,0,3,7,0,8,19,17,21,35,41,26,22,30,14,31,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,North Killeak Lake,-164.054,66.36669,15,6,5,3,7,10,7,7,7,3,6,9,8,8,13,25,14,15,27,24,26,38,76,33,17,25,25,26,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"""Glacial"" Lake",-166.26667,64.86667,NA,NA,14,4,11,5,12,10,14,0,8,11,12,8,1,11,11,11,13,15,20,28,44,12,22,13,2,19,NA,23,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
