"Time","AvailableData","SalixMin","SalixMax","PopulusMin","PopulusMax","PiceaMin","PiceaMax"
0,14,14,14,4,4,14,14
500,9,9,9,2,3,8,9
1000,13,12,13,0,4,13,13
1500,16,15,15,3,5,15,16
2000,20,20,20,3,6,20,20
2500,20,20,20,4,5,20,20
3000,18,18,18,1,6,17,18
3500,23,23,23,4,8,23,23
4000,23,20,22,5,9,23,23
4500,24,21,23,6,10,24,24
5000,23,23,23,3,6,22,23
5500,23,23,23,4,9,23,23
6000,25,23,24,6,13,25,25
6500,26,26,26,4,12,24,26
7000,24,21,22,7,9,24,24
7500,24,22,23,7,10,22,24
8000,22,20,22,5,12,20,21
8500,23,22,23,6,11,20,21
9000,23,22,22,13,18,17,19
9500,22,22,22,12,17,14,17
10000,21,21,21,17,19,11,14
10500,23,22,23,15,19,11,15
11000,20,20,20,12,16,7,8
11500,19,19,19,10,12,3,7
12000,18,18,18,10,13,4,7
12500,20,20,20,7,13,2,5
13000,20,20,20,6,9,5,6
13500,15,15,15,4,6,7,9
14000,12,12,12,3,5,1,3
14500,15,15,15,5,6,3,5
15000,16,16,16,3,3,6,8
15500,12,12,12,2,2,5,5
16000,12,12,12,4,7,6,8
16500,11,11,11,6,7,10,10
17000,11,11,11,2,4,8,10
17500,6,6,6,3,3,3,3
18000,8,8,8,1,2,5,6
18500,5,5,5,3,3,3,3
19000,7,7,7,4,4,6,6
19500,5,5,5,1,1,4,4
20000,5,5,5,0,0,4,4
