"sitename","lat","long","siteid","datasetid","depth","Salix","Populus","Picea","calibrated_age","age"
"Red Green Lake",68.654086,-149.681654,10537,16236,0,0.0153061224489796,0,0.130952380952381,-47,-47
"Red Green Lake",68.654086,-149.681654,10537,16236,8,0.0205882352941176,0,0.111111111111111,579.5,201
"Red Green Lake",68.654086,-149.681654,10537,16236,12,0.0268714011516315,0,0.112727272727273,674,327
"Red Green Lake",68.654086,-149.681654,10537,16236,16,0.0186915887850467,0,0.0986547085201794,786,453
"Red Green Lake",68.654086,-149.681654,10537,16236,20,0.0120845921450151,0,0.169312169312169,915.5,573
"Red Green Lake",68.654086,-149.681654,10537,16236,25,0.0200445434298441,0,0.0638297872340426,1024,688
"Red Green Lake",68.654086,-149.681654,10537,16236,30,0.00531914893617021,0,0.0689655172413793,1107.5,808
"Red Green Lake",68.654086,-149.681654,10537,16236,35,0.0170454545454545,0,0.105504587155963,1175,930
"Red Green Lake",68.654086,-149.681654,10537,16236,40,0.0197628458498024,0,0.0929368029739777,1242.5,1046
"Red Green Lake",68.654086,-149.681654,10537,16236,45,0.0084985835694051,0,0.0916666666666667,1315,1164
"Red Green Lake",68.654086,-149.681654,10537,16236,50,0.00289017341040462,0,0.103960396039604,1380,1280
"Red Green Lake",68.654086,-149.681654,10537,16236,55,0.0235507246376812,0,0.0844594594594595,1454,1400
"Red Green Lake",68.654086,-149.681654,10537,16236,60,0.0272373540856031,0,0.06640625,1520,1514
"Red Green Lake",68.654086,-149.681654,10537,16236,70,0.0234375,0,0.0526315789473684,1709,1744
"Red Green Lake",68.654086,-149.681654,10537,16236,80,0.0196629213483146,0,0.122340425531915,2017,2045
"Red Green Lake",68.654086,-149.681654,10537,16236,90,0.0244821092278719,0,0.0689655172413793,2309.5,2342
"Red Green Lake",68.654086,-149.681654,10537,16236,100,0.027027027027027,0,0.0675675675675676,2605,2638
"Red Green Lake",68.654086,-149.681654,10537,16236,110,0.0140515222482436,0,0.211267605633803,2901,2939
"Red Green Lake",68.654086,-149.681654,10537,16236,120,0.00441501103752759,0,0.0803212851405622,3185,3241
"Red Green Lake",68.654086,-149.681654,10537,16236,130,0.0273972602739726,0,0.107569721115538,3738.5,3646
"Red Green Lake",68.654086,-149.681654,10537,16236,140,0.0240963855421687,0,0.0946969696969697,4299,4212
"Red Green Lake",68.654086,-149.681654,10537,16236,150,0.0301659125188537,0,0.0348837209302326,4877,4793
"Red Green Lake",68.654086,-149.681654,10537,16236,160,0.0116279069767442,0,0.0612903225806452,5441,5355
"Red Green Lake",68.654086,-149.681654,10537,16236,170,0.0184331797235023,0,0.06,6025,5923
"Red Green Lake",68.654086,-149.681654,10537,16236,175,0.00681818181818182,0,0.0410094637223975,6318.5,6216
"Red Green Lake",68.654086,-149.681654,10537,16236,180,0.0173053152039555,0,0.0307443365695793,6584,6512
