"sitename","lat","long","siteid","datasetid","age","depth","Salix","Populus","Picea"
"Red Green Lake",68.654086,-149.681654,10537,16236,-47,0,0.0153061224489796,0,0.130952380952381
"Red Green Lake",68.654086,-149.681654,10537,16236,201,8,0.0205882352941176,0,0.111111111111111
"Red Green Lake",68.654086,-149.681654,10537,16236,327,12,0.0268714011516315,0,0.112727272727273
"Red Green Lake",68.654086,-149.681654,10537,16236,453,16,0.0186915887850467,0,0.0986547085201794
"Red Green Lake",68.654086,-149.681654,10537,16236,573,20,0.0120845921450151,0,0.169312169312169
"Red Green Lake",68.654086,-149.681654,10537,16236,688,25,0.0200445434298441,0,0.0638297872340426
"Red Green Lake",68.654086,-149.681654,10537,16236,808,30,0.00531914893617021,0,0.0689655172413793
"Red Green Lake",68.654086,-149.681654,10537,16236,930,35,0.0170454545454545,0,0.105504587155963
"Red Green Lake",68.654086,-149.681654,10537,16236,1046,40,0.0197628458498024,0,0.0929368029739777
"Red Green Lake",68.654086,-149.681654,10537,16236,1164,45,0.0084985835694051,0,0.0916666666666667
"Red Green Lake",68.654086,-149.681654,10537,16236,1280,50,0.00289017341040462,0,0.103960396039604
"Red Green Lake",68.654086,-149.681654,10537,16236,1400,55,0.0235507246376812,0,0.0844594594594595
"Red Green Lake",68.654086,-149.681654,10537,16236,1514,60,0.0272373540856031,0,0.06640625
"Red Green Lake",68.654086,-149.681654,10537,16236,1744,70,0.0234375,0,0.0526315789473684
"Red Green Lake",68.654086,-149.681654,10537,16236,2045,80,0.0196629213483146,0,0.122340425531915
"Red Green Lake",68.654086,-149.681654,10537,16236,2342,90,0.0244821092278719,0,0.0689655172413793
"Red Green Lake",68.654086,-149.681654,10537,16236,2638,100,0.027027027027027,0,0.0675675675675676
"Red Green Lake",68.654086,-149.681654,10537,16236,2939,110,0.0140515222482436,0,0.211267605633803
"Red Green Lake",68.654086,-149.681654,10537,16236,3241,120,0.00441501103752759,0,0.0803212851405622
"Red Green Lake",68.654086,-149.681654,10537,16236,3646,130,0.0273972602739726,0,0.107569721115538
"Red Green Lake",68.654086,-149.681654,10537,16236,4212,140,0.0240963855421687,0,0.0946969696969697
"Red Green Lake",68.654086,-149.681654,10537,16236,4793,150,0.0301659125188537,0,0.0348837209302326
"Red Green Lake",68.654086,-149.681654,10537,16236,5355,160,0.0116279069767442,0,0.0612903225806452
"Red Green Lake",68.654086,-149.681654,10537,16236,5923,170,0.0184331797235023,0,0.06
"Red Green Lake",68.654086,-149.681654,10537,16236,6216,175,0.00681818181818182,0,0.0410094637223975
"Red Green Lake",68.654086,-149.681654,10537,16236,6512,180,0.0173053152039555,0,0.0307443365695793
"Red Green Lake",68.654086,-149.681654,10537,16236,6798,185,0.0175438596491228,0,0.0169491525423729
"Red Green Lake",68.654086,-149.681654,10537,16236,7102,190,0.0155339805825243,0,0.0319148936170213
"Red Green Lake",68.654086,-149.681654,10537,16236,7395,195,0.0187353629976581,0,0.027355623100304
"Red Green Lake",68.654086,-149.681654,10537,16236,7681,200,0.0186915887850467,0,0.0170648464163823
"Red Green Lake",68.654086,-149.681654,10537,16236,7961,205,0.0109409190371991,0,0.028169014084507
"Red Green Lake",68.654086,-149.681654,10537,16236,8081,210,0.015625,0,0.015625
"Red Green Lake",68.654086,-149.681654,10537,16236,8183,215,0.0271739130434783,0,0.029585798816568
"Red Green Lake",68.654086,-149.681654,10537,16236,8274,220,0.00696864111498258,0,0.0145985401459854
"Red Green Lake",68.654086,-149.681654,10537,16236,8339,225,0.0264026402640264,0,0.0118343195266272
"Red Green Lake",68.654086,-149.681654,10537,16236,8404,230,0.03125,0,0.0204778156996587
"Red Green Lake",68.654086,-149.681654,10537,16236,8473,235,0.0144927536231884,0,0.0120481927710843
"Red Green Lake",68.654086,-149.681654,10537,16236,8546,240,0.0130718954248366,0,0
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,-47,0,0.0186335403726708,0.0011001100110011,0.0297029702970297
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,59,5,0.0282722513089005,0,0.00925925925925926
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,162,10,0.0123456790123457,0,0.0308641975308642
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,271,15,0.00271739130434783,0,0.00873362445414847
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,384,20,0.00196463654223969,0,0.0132275132275132
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,489,25,0.00392927308447937,0,0.0234375
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,598,30,0.01364522417154,0,0.00478468899521531
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,715,35,0.021505376344086,0,0.0119047619047619
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,824,40,0.0139211136890951,0,0.016597510373444
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,932,45,0.0164705882352941,0,0.0152091254752852
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,1041,50,0.019559902200489,0,0.0230769230769231
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,1254,60,0.0205128205128205,0,0.0228571428571429
