"siteid","depth","thickness","agelimitolder","chroncontrolid","agelimityounger","chroncontrolage","chroncontroltype"
10537,0,NA,NA,35813,NA,-47,"Core top"
10537,18.5,1,3010,35814,2810,2910,"Radiocarbon"
10537,69.5,1,1840,35815,1740,1790,"Radiocarbon"
10537,123.5,1,3170,35816,3050,3110,"Radiocarbon"
10537,202.5,1,7189,35817,7043,7116,"Radiocarbon"
10537,215,2,7590,35818,7390,7490,"Radiocarbon"
10537,229.5,1,7570,35819,7430,7500,"Radiocarbon"
10537,275.5,1,7940,35820,7660,7800,"Radiocarbon"
10539,0,NA,NA,35832,NA,-47,"Core top"
10539,75.5,1,1720,35833,1620,1670,"Radiocarbon"
10539,100.5,1,730,35834,570,650,"Radiocarbon"
10539,156,2,3772,35835,3638,3705,"Radiocarbon"
10539,207.5,1,1120,35836,1020,1070,"Radiocarbon"
10539,230.5,1,6670,35837,6550,6610,"Radiocarbon"
10539,250.5,1,8250,35838,8150,8200,"Radiocarbon"
10539,260.5,1,8270,35839,8170,8220,"Radiocarbon"
10539,310.5,1,9989,35840,9925,9957,"Radiocarbon"
10539,325.5,1,9840,35841,9740,9790,"Radiocarbon"
513,0,NA,500,1596,-32,0,"Core top"
513,257,6,6740,1597,5920,6330,"Radiocarbon"
513,505,10,9150,1598,8930,9040,"Radiocarbon"
513,627.5,5,10770,1599,10370,10570,"Radiocarbon"
2271,0,1,500,6395,-32,0,"Core top"
2271,55,10,2330,6396,2190,2260,"Radiocarbon"
2271,155,10,5860,6397,5700,5780,"Radiocarbon"
2271,185,10,9330,6398,9130,9230,"Radiocarbon"
10538,0,1,-45,35821,-47,-46,"Core top"
10538,18,1,1300,35822,1180,1240,"Radiocarbon"
10538,37,6,2320,35823,2160,2240,"Radiocarbon"
10538,53,4,2270,35824,1790,2030,"Radiocarbon"
10538,104.5,5,4440,35825,4260,4350,"Radiocarbon"
10538,123,2,4390,35826,4110,4250,"Radiocarbon"
10538,141.5,5,7330,35827,7230,7280,"Radiocarbon"
10538,212.5,1,12930,35828,12730,12830,"Radiocarbon"
10538,240.5,1,13250,35829,13130,13190,"Radiocarbon"
10538,276.5,5,23270,35830,22830,23050,"Radiocarbon"
10538,365.5,1,30710,35831,30110,30410,"Radiocarbon"
1396,0,1,500,3385,-29,0,"Core top"
1396,15,10,3210,3386,3070,3140,"Radiocarbon"
1396,70,20,8050,3387,7870,7960,"Radiocarbon"
1396,103,10,9070,3388,8810,8940,"Radiocarbon"
1396,140,20,14440,3389,14160,14300,"Radiocarbon"
1396,350,20,22020,3390,21360,21690,"Radiocarbon"
1396,510,20,38000,3391,36000,37000,"Radiocarbon"
1748,0,1,500,5012,-34,0,"Core top"
1748,15,10,2600,5013,2440,2520,"Radiocarbon"
1748,85,10,6470,5014,6230,6350,"Radiocarbon"
1748,135,10,9050,5015,8730,8890,"Radiocarbon"
1748,245,10,10980,5016,10780,10880,"Radiocarbon"
1748,333,10,14000,5017,13760,13880,"Radiocarbon"
790,0,1,500,2234,-34,0,"Core top"
790,35,10,4540,2235,4040,4140,"Radiocarbon"
790,80,10,8380,2236,7940,8160,"Radiocarbon"
790,225,10,14070,2237,13510,13790,"Radiocarbon"
