"sitename","lat","long","siteid","datasetid","age","Salix","Populus","Picea"
"Red Green Lake",68.654086,-149.681654,"10537","16236",-47,6,0,33
"Red Green Lake",68.654086,-149.681654,"10537","16236",201,7,0,20
"Red Green Lake",68.654086,-149.681654,"10537","16236",327,14,0,31
"Red Green Lake",68.654086,-149.681654,"10537","16236",453,8,0,22
"Red Green Lake",68.654086,-149.681654,"10537","16236",573,4,0,32
"Red Green Lake",68.654086,-149.681654,"10537","16236",688,9,0,15
"Red Green Lake",68.654086,-149.681654,"10537","16236",808,2,0,12
"Red Green Lake",68.654086,-149.681654,"10537","16236",930,6,0,23
"Red Green Lake",68.654086,-149.681654,"10537","16236",1046,10,0,25
"Red Green Lake",68.654086,-149.681654,"10537","16236",1164,3,0,22
"Red Green Lake",68.654086,-149.681654,"10537","16236",1280,1,0,21
"Red Green Lake",68.654086,-149.681654,"10537","16236",1400,13,0,25
"Red Green Lake",68.654086,-149.681654,"10537","16236",1514,14,0,17
"Red Green Lake",68.654086,-149.681654,"10537","16236",1744,12,0,14
"Red Green Lake",68.654086,-149.681654,"10537","16236",2045,7,0,23
"Red Green Lake",68.654086,-149.681654,"10537","16236",2342,13,0,20
"Red Green Lake",68.654086,-149.681654,"10537","16236",2638,11,0,15
"Red Green Lake",68.654086,-149.681654,"10537","16236",2939,6,0,45
"Red Green Lake",68.654086,-149.681654,"10537","16236",3241,2,0,20
"Red Green Lake",68.654086,-149.681654,"10537","16236",3646,12,0,27
"Red Green Lake",68.654086,-149.681654,"10537","16236",4212,12,0,25
"Red Green Lake",68.654086,-149.681654,"10537","16236",4793,20,0,15
"Red Green Lake",68.654086,-149.681654,"10537","16236",5355,5,0,19
"Red Green Lake",68.654086,-149.681654,"10537","16236",5923,12,0,27
"Red Green Lake",68.654086,-149.681654,"10537","16236",6216,3,0,13
"Red Green Lake",68.654086,-149.681654,"10537","16236",6512,14,0,19
"Red Green Lake",68.654086,-149.681654,"10537","16236",6798,8,0,6
"Red Green Lake",68.654086,-149.681654,"10537","16236",7102,8,0,12
"Red Green Lake",68.654086,-149.681654,"10537","16236",7395,8,0,9
"Red Green Lake",68.654086,-149.681654,"10537","16236",7681,8,0,5
"Red Green Lake",68.654086,-149.681654,"10537","16236",7961,5,0,8
"Red Green Lake",68.654086,-149.681654,"10537","16236",8081,6,0,4
"Red Green Lake",68.654086,-149.681654,"10537","16236",8183,10,0,5
"Red Green Lake",68.654086,-149.681654,"10537","16236",8274,2,0,2
"Red Green Lake",68.654086,-149.681654,"10537","16236",8339,8,0,2
"Red Green Lake",68.654086,-149.681654,"10537","16236",8404,17,0,6
